100000 1000
49 90286 119
164 18126 53
188 15968 11
219 72184 31
467 99593 19
524 72352 140
545 41332 83
561 15947 65
790 17428 131
914 24093 174
950 42214 138
988 93529 51
1148 3070 61
1186 66432 82
1222 45780 141
1230 87665 79
1416 31753 150
1514 40300 151
1524 36343 150
1538 28228 51
1598 42240 161
1684 89818 156
1774 10339 125
1804 45256 48
1931 11270 56
1932 80738 165
2129 33953 67
2145 478 143
2153 96682 70
2222 47949 11
2333 97722 141
2398 81620 157
2420 73341 157
2468 84408 9
2526 78510 10
2555 7554 58
2583 21502 69
2647 37933 12
2678 81533 150
2709 43554 92
2749 97006 96
2794 76008 25
3033 77190 107
3157 53147 53
3169 1042 37
3211 85010 166
3233 49494 103
3292 45528 162
3468 50548 86
3537 14737 59
3585 37972 165
3605 43348 49
3664 6134 181
3856 39218 133
3912 9429 50
3980 78691 169
4114 92646 75
4191 88008 82
4661 7412 62
4670 63105 89
4708 39922 117
4748 75991 143
4859 58992 31
4873 59513 31
4896 24226 147
5017 42940 97
5113 80538 45
5234 13702 192
5271 6819 57
5298 36022 9
5353 65782 89
5574 632 55
5586 27962 21
5592 97488 24
5606 26722 47
5718 14530 71
5742 27858 109
5916 68473 119
5941 11913 64
6022 58717 150
6130 53250 131
6229 33402 109
6295 91426 36
6401 6180 18
6421 69380 45
6446 38453 128
6484 19172 37
6583 76891 162
6700 26339 110
6825 39378 8
6882 39445 98
6963 57548 141
7054 59009 71
7135 71910 70
7141 69240 36
7184 90840 73
7408 53780 63
7421 2556 5
7458 38926 8
7488 61545 105
7540 17510 94
7578 1520 19
7730 74732 129
7744 46425 169
7748 98465 87
7784 16742 15
7786 38622 61
7791 46239 16
7827 97931 8
7830 21571 94
7863 8654 125
7912 18420 164
8016 68870 130
8123 97764 53
8160 52780 123
8189 13734 61
8237 95244 65
8279 22896 101
8369 53575 84
8438 2236 165
8498 87091 141
8676 69020 84
8717 15005 55
8725 91692 20
8790 98496 22
8797 63664 23
8817 79787 87
8845 32324 121
8982 44378 61
8997 41738 33
9033 19167 178
9035 67254 89
9046 21240 55
9084 3004 31
9087 62802 19
9095 6148 110
9272 32776 172
9318 3869 52
9365 61609 10
9379 50956 82
9387 59871 24
9411 44122 25
9453 1272 9
9571 26200 12
9643 99706 89
9715 47600 157
9754 38264 101
10011 42774 7
10050 13761 3
10054 26426 24
10190 40730 19
10205 49134 4
10458 97381 129
10489 10735 135
10511 66079 27
10515 96266 97
10578 62283 62
10582 92727 16
10732 63651 41
10784 60850 49
10913 74314 27
10996 98948 113
11029 75785 139
11111 23830 153
11125 21284 167
11213 96394 49
11214 19828 97
11274 52610 62
11437 74023 39
11578 70800 155
11705 98878 51
11737 20351 8
11743 76576 46
11830 17207 4
11956 24660 113
11980 52824 83
12095 92145 47
12108 48272 28
12125 33380 135
12168 28726 126
12227 60086 8
12230 66416 29
12390 23204 156
12470 6958 73
12576 70027 115
12583 62670 110
12708 68124 35
12723 3888 64
12736 55030 170
12831 49415 67
12895 43943 1
13039 61269 30
13059 35864 123
13065 26500 129
13067 78228 89
13176 15319 142
13195 79683 165
13236 17816 72
13536 19856 158
13625 40898 147
13642 63786 36
13655 35418 5
13760 10818 115
13788 89184 40
13812 9977 111
13908 72250 94
14016 93672 60
14113 42811 114
14117 72307 88
14245 53518 54
14263 2696 25
14279 86168 126
14281 69476 144
14283 47360 45
14480 32516 104
14508 1456 74
14528 784 145
14554 27082 153
14602 10472 91
14824 91122 103
14865 86990 6
14999 19656 145
15089 39542 109
15095 52994 105
15142 47151 29
15282 56059 102
15347 52260 153
15385 65819 121
15415 78708 46
15465 21652 53
15490 59848 135
15672 85564 14
15685 61234 77
15702 91423 101
15955 39568 145
15991 90527 9
16152 64992 36
16189 57394 1
16205 29626 73
16442 58985 83
16448 52498 96
16450 28434 147
16545 38876 94
16840 91498 135
16907 57124 63
16922 43636 170
16999 58086 49
17080 23308 51
17183 69790 130
17382 44922 169
17452 88674 137
17466 74096 81
17483 98394 17
17499 98332 86
17557 17264 61
17572 74822 36
17658 77170 96
17687 59561 157
17745 73520 116
17860 7729 103
17872 96736 66
17885 72976 61
17997 18084 27
18070 14350 28
18077 7991 101
18136 14078 76
18247 77474 39
18367 99686 22
18389 21671 144
18402 23098 153
18454 16230 115
18481 59522 67
18489 67800 15
18722 52185 56
18878 97314 122
18894 29982 105
18924 89388 69
18982 16955 92
19079 6919 26
19110 16730 46
19128 74917 159
19162 12935 149
19198 29062 90
19257 69942 142
19389 76734 23
19398 76690 134
19440 13842 133
19522 64932 45
19596 15571 167
19609 24857 173
19701 26870 116
19829 31977 34
19853 23538 146
20006 99439 147
20026 99697 7
20035 55402 2
20124 35469 125
20162 27372 17
20336 75500 101
20405 1532 2
20587 70555 85
20598 81890 74
20612 392 41
20716 90172 39
20815 95411 35
20818 16141 105
20857 54462 70
20875 34920 33
20943 76531 47
20948 97680 168
21020 6629 118
21114 40712 79
21174 95816 117
21370 15952 37
21410 30486 38
21494 77912 172
21578 90444 129
21606 55511 130
