300 6
6519 56 47
17452 180 7
36513 222 51
38754 130 11
50063 172 7
51356 200 57
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 36513 18 6
6 36513 19 7
7 36513 20 8
8 36513 21 9
9 36513 22 10
10 36513 23 11
11 36513 24 12
12 36513 25 13
13 36513 26 14
14 36513 27 15
15 36513 28 16
16 36513 29 17
17 36513 30 18
18 36513 31 19
19 36513 32 290
20 6519 12 124
21 0 0 0
22 38754 10 88
23 6519 33 192
24 51356 50 25
25 51356 51 26
26 51356 52 27
27 51356 53 284
28 6519 40 232
29 0 0 0
30 0 0 0
31 0 0 0
32 6519 7 114
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 38754 8 57
41 0 0 0
42 6519 31 156
43 0 0 0
44 6519 30 42
45 0 0 0
46 0 0 0
47 0 0 0
48 38754 2 74
49 36513 11 50
50 36513 12 51
51 36513 13 52
52 36513 14 53
53 36513 15 54
54 36513 16 55
55 36513 17 5
56 6519 1 149
57 38754 9 22
58 6519 17 194
59 0 0 0
60 0 0 0
61 0 0 0
62 0 0 0
63 0 0 0
64 51356 29 65
65 51356 30 66
66 51356 31 67
67 51356 32 68
68 51356 33 69
69 51356 34 70
70 51356 35 150
71 6519 39 28
72 51356 23 73
73 51356 24 234
74 38754 3 176
75 0 0 0
76 0 0 0
77 0 0 0
78 0 0 0
79 6519 36 115
80 51356 42 81
81 51356 43 82
82 51356 44 83
83 51356 45 84
84 51356 46 85
85 51356 47 86
86 51356 48 87
87 51356 49 24
88 38754 11 1
89 0 0 0
90 0 0 0
91 0 0 0
92 0 0 0
93 0 0 0
94 51356 8 95
95 51356 9 96
96 51356 10 97
97 51356 11 98
98 51356 12 99
99 51356 13 100
100 51356 14 101
101 51356 15 255
102 6519 3 274
103 0 0 0
104 6519 20 280
105 0 0 0
106 0 0 0
107 0 0 0
108 38754 5 251
109 0 0 0
110 0 0 0
111 0 0 0
112 0 0 0
113 0 0 0
114 6519 8 136
115 6519 37 167
116 0 0 0
117 0 0 0
118 0 0 0
119 0 0 0
120 38754 7 40
121 0 0 0
122 6519 46 168
123 0 0 0
124 6519 13 289
125 0 0 0
126 0 0 0
127 0 0 0
128 0 0 0
129 0 0 0
130 38754 1 48
131 0 0 0
132 0 0 0
133 0 0 0
134 6519 24 188
135 0 0 0
136 6519 9 171
137 0 0 0
138 6519 23 134
139 0 0 0
140 0 0 0
141 0 0 0
142 6519 16 58
143 0 0 0
144 0 0 0
145 0 0 0
146 0 0 0
147 0 0 0
148 0 0 0
149 6519 2 102
150 51356 36 151
151 51356 37 152
152 51356 38 153
153 51356 39 154
154 51356 40 155
155 51356 41 80
156 6519 32 23
157 0 0 0
158 0 0 0
159 0 0 0
160 6519 22 138
161 0 0 0
162 0 0 0
163 0 0 0
164 6519 15 142
165 0 0 0
166 0 0 0
167 6519 38 71
168 6519 47 1
169 0 0 0
170 6519 43 215
171 6519 10 196
172 50063 1 173
173 50063 2 174
174 50063 3 175
175 50063 4 277
176 38754 4 108
177 6519 35 79
178 0 0 0
179 0 0 0
180 17452 1 181
181 17452 2 182
182 17452 3 183
183 17452 4 184
184 17452 5 185
185 17452 6 186
186 17452 7 1
187 0 0 0
188 6519 25 207
189 0 0 0
190 0 0 0
191 0 0 0
192 6519 34 177
193 0 0 0
194 6519 18 238
195 0 0 0
196 6519 11 20
197 0 0 0
198 6519 28 199
199 6519 29 44
200 51356 1 201
201 51356 2 202
202 51356 3 203
203 51356 4 204
204 51356 5 205
205 51356 6 206
206 51356 7 94
207 6519 26 242
208 0 0 0
209 0 0 0
210 0 0 0
211 0 0 0
212 0 0 0
213 0 0 0
214 6519 45 122
215 6519 44 214
216 6519 6 32
217 0 0 0
218 0 0 0
219 0 0 0
220 0 0 0
221 0 0 0
222 36513 1 223
223 36513 2 224
224 36513 3 225
225 36513 4 226
226 36513 5 227
227 36513 6 228
228 36513 7 229
229 36513 8 230
230 36513 9 231
231 36513 10 49
232 6519 41 253
233 0 0 0
234 51356 25 235
235 51356 26 236
236 51356 27 237
237 51356 28 64
238 6519 19 104
239 0 0 0
240 0 0 0
241 0 0 0
242 6519 27 198
243 0 0 0
244 0 0 0
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 6519 5 216
251 38754 6 120
252 0 0 0
253 6519 42 170
254 0 0 0
255 51356 16 256
256 51356 17 257
257 51356 18 258
258 51356 19 259
259 51356 20 260
260 51356 21 261
261 51356 22 72
262 36513 43 263
263 36513 44 264
264 36513 45 265
265 36513 46 266
266 36513 47 267
267 36513 48 268
268 36513 49 269
269 36513 50 270
270 36513 51 1
271 0 0 0
272 0 0 0
273 0 0 0
274 6519 4 250
275 0 0 0
276 0 0 0
277 50063 5 278
278 50063 6 279
279 50063 7 1
280 6519 21 160
281 0 0 0
282 0 0 0
283 0 0 0
284 51356 54 285
285 51356 55 286
286 51356 56 287
287 51356 57 1
288 0 0 0
289 6519 14 164
290 36513 33 291
291 36513 34 292
292 36513 35 293
293 36513 36 294
294 36513 37 295
295 36513 38 296
296 36513 39 297
297 36513 40 298
298 36513 41 299
299 36513 42 262
